,symbol,company_name,sector,sub_industry,market_cap
452,TDG,TransDigm Group,Industrials,Aerospace & Defense,47900221440
273,KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,47419686912
206,FTNT,Fortinet,Information Technology,Systems Software,46844796928
401,RSG,Republic Services,Industrials,Environmental & Facilities Services,46831874048
220,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,46826192896
92,CARR,Carrier Global,Industrials,Building Products,46174892032
451,TT,Trane Technologies,Industrials,Building Products,46165704704
6,ADM,ADM,Consumer Staples,Agricultural Products & Services,46098452480
11,AFL,Aflac,Financials,Life & Health Insurance,46005846016
232,HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,45663760384
366,PAYX,Paychex,Industrials,Human Resource & Employment Services,45338656768
54,AZO,AutoZone,Consumer Discretionary,Specialty Stores,45231407104
136,CCI,Crown Castle,Real Estate,Telecom Tower REITs,44897959936
416,SRE,Sempra Energy,Utilities,Multi-Utilities,44771971072
53,ADSK,Autodesk,Information Technology,Application Software,44767047680
354,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,44755910656
316,MCHP,Microchip Technology,Information Technology,Semiconductors,44488421376
419,SPG,Simon Property Group,Real Estate,Retail REITs,44436033536
361,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,44428849152
331,MSCI,MSCI,Financials,Financial Exchanges & Data,43955609600
148,DXCM,Dexcom,Health Care,Health Care Equipment,43749568512
276,KMB,Kimberly-Clark,Consumer Staples,Household Products,43422949376
32,AIG,American International Group,Financials,Property & Casualty Insurance,43244244992
492,WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,42837651456
286,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,42732589056
219,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,42501836800
348,NUE,Nucor,Materials,Steel,42396393472
280,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,42370461696
248,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,42314235904
130,CPRT,Copart,Industrials,Diversified Support Services,41907298304
441,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,41818914816
486,WELL,Welltower,Real Estate,Health Care REITs,41666109440
30,AEP,American Electric Power,Utilities,Electric Utilities,41456119808
140,DHI,D.R. Horton,Consumer Discretionary,Homebuilding,41322397696
88,COF,Capital One,Financials,Consumer Finance,41099665408
455,TFC,Truist,Financials,Regional Banks,40925085696
235,HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",40779022336
155,D,Dominion Energy,Utilities,Electric Utilities,40773021696
356,ON,ON Semiconductor,Information Technology,Semiconductors,40693231616
263,IQV,IQVIA,Health Care,Life Sciences Tools & Services,40652857344
269,JCI,Johnson Controls,Industrials,Building Products,40363204608
372,PCG,PG&E Corporation,Utilities,Multi-Utilities,40335687680
187,EXC,Exelon,Utilities,Multi-Utilities,39663415296
278,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,39394045952
397,O,Realty Income,Real Estate,Retail REITs,39269040128
69,BIIB,Biogen,Health Care,Biotechnology,39243898880
408,ROST,Ross Stores,Consumer Discretionary,Apparel Retail,38998298624
158,DOW,Dow Inc.,Materials,Commodity Chemicals,38909399040
36,ABC,AmerisourceBergen,Health Care,Health Care Distributors,38118744064
453,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,37928820736
320,MRNA,Moderna,Health Care,Biotechnology,37621518336
498,YUM,Yum! Brands,Consumer Discretionary,Restaurants,37559668736
12,A,Agilent Technologies,Health Care,Health Care Equipment,37308940288
132,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,36759244800
99,CNC,Centene Corporation,Health Care,Managed Health Care,36484907008
37,AME,Ametek,Industrials,Electrical Components & Equipment,36461146112
434,SYY,Sysco,Consumer Staples,Food Distributors,36288610304
226,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,36259217408
153,DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,35979599872
35,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,35943305216
58,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,35908075520
360,OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,35888123904
494,GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,35792646144
282,LHX,L3Harris,Industrials,Aerospace & Defense,35689156608
120,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,35650256896
71,BK,BNY Mellon,Financials,Asset Management & Custody Banks,35391750144
161,DD,DuPont,Materials,Specialty Chemicals,34924306432
150,DLR,Digital Realty,Real Estate,Data Center REITs,34893172736
288,LEN,Lennar,Consumer Discretionary,Homebuilding,34818174976
281,KR,Kroger,Consumer Staples,Food Retail,34731728896
128,CEG,Constellation Energy,Utilities,Multi-Utilities,34437849088
385,PRU,Prudential Financial,Financials,Life & Health Insurance,34434097152
405,ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,34086285312
470,VRSK,Verisk,Industrials,Research & Consulting Services,34035009536
138,CMI,Cummins,Industrials,Industrial Machinery & Supplies & Components,33691756544
169,EA,Electronic Arts,Communication Services,Interactive Home Entertainment,33384673280
464,URI,United Rentals,Industrials,Trading Companies & Distributors,33328445440
481,WBD,Warner Bros. Discovery,Communication Services,Broadcasting,33191999488
201,FIS,FIS,Financials,Transaction & Payment Processing Services,33143887872
224,GPN,Global Payments,Financials,Transaction & Payment Processing Services,33102999552
133,CSGP,CoStar Group,Industrials,Research & Consulting Services,32813852672
195,FAST,Fastenal,Industrials,Building Products,32783087616
496,XEL,Xcel Energy,Utilities,Multi-Utilities,32528789504
154,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,32430753792
296,LYB,LyondellBasell,Materials,Specialty Chemicals,32425891840
379,PPG,PPG Industries,Materials,Specialty Chemicals,32378324992
214,GEHC,GE HealthCare,Health Care,Health Care Technology,32298047488
147,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,31928680448
242,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",31875958784
336,NEM,Newmont,Materials,Gold,31280652288
126,ED,Consolidated Edison,Utilities,Electric Utilities,31244048384
475,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,30865317888
386,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,30027712512
477,VMC,Vulcan Materials Company,Materials,Construction Materials,29682802688
357,OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,29385320448
487,WST,West Pharmaceutical Services,Health Care,Health Care Supplies,29267175424
391,PWR,Quanta Services,Industrials,Construction & Engineering,29052620800
190,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,28670201856
47,ACGL,Arch Capital Group,Financials,Reinsurance,28449392640
250,ILMN,Illumina,Health Care,Life Sciences Tools & Services,28250890240
21,ALL,Allstate,Financials,Property & Casualty Insurance,28230305792
145,DAL,Delta Air Lines,Industrials,Passenger Airlines,28188143616
303,MLM,Martin Marietta Materials,Materials,Construction Materials,28017334272
207,FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,27908462592
275,KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,27595294720
97,CDW,CDW,Information Technology,Technology Distributors,27580790784
252,IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,27466842112
314,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,27172923392
484,WEC,WEC Energy Group,Utilities,Electric Utilities,27165263872
34,AWK,American Water Works,Utilities,Water Utilities,27129481216
149,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,26928676864
213,IT,Gartner,Information Technology,IT Consulting & Other Services,26820913152
18,ALGN,Align Technology,Health Care,Health Care Supplies,26781333504
167,EIX,Edison International,Utilities,Electric Utilities,26644127744
55,AVB,AvalonBay Communities,Real Estate,Residential REITs,26394775552
131,GLW,Corning Inc.,Information Technology,Electronic Components,26391701504
409,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",26340911104
402,RMD,ResMed,Health Care,Health Care Equipment,26319015936
